   Time                    Number Of Iterations To Converge
  0.000000000000000E+000           0
  0.500000000000000                2
   1.00000000000000                2
   1.50000000000000                3
   2.00000000000000                3
   2.50000000000000                3
   3.00000000000000                3
   3.50000000000000                3
   4.00000000000000                3
   4.50000000000000                3
   5.00000000000000                3
   5.50000000000000                3
   6.00000000000000                3
   6.50000000000000                3
   7.00000000000000                3
   7.50000000000000                3
   8.00000000000000                3
   8.50000000000000                3
   9.00000000000000                3
   9.50000000000000                3
   10.0000000000000                4
   54.8750000000000                5
   99.7500000000000                4
   144.625000000000                4
   189.500000000000                4
   234.375000000000                4
   279.250000000000                4
   324.125000000000                3
   369.000000000000                3
   413.875000000000                3
   458.750000000000                3
   503.625000000000                3
   548.500000000000                3
   593.375000000000                3
   638.250000000000                3
   683.125000000000                3
   728.000000000000                3
   772.875000000000                3
   817.750000000000                3
   862.625000000000                3
   907.500000000000                3
   952.375000000000                3
   997.250000000000                3
   1042.12500000000                3
   1087.00000000000                3
   1131.87500000000                2
   1176.75000000000                2
   1221.62500000000                2
   1266.50000000000                2
   1311.37500000000                2
   1356.25000000000                2
   1401.12500000000                2
   1446.00000000000                2
   1490.87500000000                2
   1535.75000000000                2
   1580.62500000000                2
   1625.50000000000                2
   1670.37500000000                2
   1715.25000000000                2
   1760.12500000000                2
   1805.00000000000                2
   1849.87500000000                2
   1894.75000000000                2
   1939.62500000000                2
   1984.50000000000                2
   2029.37500000000                2
   2074.25000000000                2
   2119.12500000000                2
   2164.00000000000                2
   2208.87500000000                2
   2253.75000000000                2
   2298.62500000000                2
   2343.50000000000                2
   2388.37500000000                2
   2433.25000000000                2
   2478.12500000000                2
   2523.00000000000                1
   2567.87500000000                1
   2612.75000000000                1
   2657.62500000000                1
   2702.50000000000                1
   2747.37500000000                1
   2792.25000000000                1
   2837.12500000000                1
   2882.00000000000                1
   2926.87500000000                1
   2971.75000000000                1
   3016.62500000000                1
   3061.50000000000                1
   3106.37500000000                1
   3151.25000000000                1
   3196.12500000000                1
   3241.00000000000                1
   3285.87500000000                1
   3330.75000000000                1
   3375.62500000000                1
   3420.50000000000                1
   3465.37500000000                1
   3510.25000000000                1
   3555.12500000000                1
   3600.00000000000                1
